Goggle#,FID,Description,VisitBy,Comments,SpotMon,ContMon,River,Priority,Easting,Northing,MonType
62,61,Harford Bridge,NG,"Large 3 arch stone bridge, poorly constrained river, easy access for spot sample via caravan park - Harford Bridge Park",Y,N,River Tavy,3,250577,76759,2
63,62,Foot bridge D/S Peter Tavy,NG,Prvate Land - could not access,N,N,Colly Brook,3,251038,77617,0
64,63,Bridge Peter Tavy,NG,Private property Lower Mill - could use for cont. mon as equipment would be secure but would need permission - not as good as FID65,N,N,Colly Brook,3,251326,77616,0
65,64,Main Bridge Peter Tavy,NG,Easy acces to D/S side although bank quite steep FID77 safer access,N,N,Colly Brook,3,251385,77615,0
66,65,Higher Mill Bridge Peter Tavy,NG,"Practically a weir under the bridge, very well constrained, tucked away spot for pump sampler if needed - would need permission",N,Y,Colly Brook,3,251546,77631,1
67,66,Weir at Whitestone Farm,NG,"Access via public footpath, park on track to left of hydro-electic enterence, brook constrained under footbridge, could site eqm within HE plant or compost site",Y,Y,Cholwell Brook,2,250837,78518,1
68,67,Bridge south of Mary Tavy,NG,Very well constrained under bridge but difficult to access river due to steep banks,N,N,Cholwell Brook,3,250761,78893,0
69,68,Glebe Cottage Weir,NG,Private land - no access,N,N,Cholwell Brook,2,250532,79338,0
70,69,Bridge South of Tavy,NG,"Too steep to directy access river, could use pole from bridge",N,N,Cholwell Brook,3,250565,79407,0
71,70,Hill Bridge,NG,"EA mon site, large weir, could site equipment on bank and chain to railing for security",Y,Y,River Tavy,2,253199,80384,1
72,71,Con with River Tavy,NG,"Easy access, well constrained under road bridge",Y,N,Youldon Brook,2,253170,80342,2
73,72,Middle Waspworthy Bridge,NG,"Tiny stream flows through wall, easily accessible from road,",N,N,Youldon Brook,3,253743,80174,0
74,73,Waspworthy Bridge,NG,No access from road,N,N,Youldon Brook,3,253725,80325,0
75,74,Willsworthy Bridge,NG,"Easy access, well constrained",Y,N,Willsworthy Brook,3,253370,81655,2
76,75,Nat Tor,,Where Tavy exists peat/moorland,,,River Tavy,2,254485,82050,1
77,76,Magpie Bridge,, ,,,River Walkham,2,250342,70360,1
New Site,77,Peter Tavy Methodist Church,NG,"less constrained but safer access to river, park at village halll and take path round side of church",Y,N,Colly Brook,1,251484,77635,2
New Site,78,Footbridge at Whiestone Farm,NG,"Park on track next to HydroElectic plant short walk along bridalway to footbridge, river easily accesible but poorly constrained",Y,N,River Tavy,1,251036,78443,1
